CORN SHUCKED & CUT (1 BUSH),CORNHALF,"Corn, Yellow",No,Foodservice,4/5 NEW KRAFT,1
"CORN, SHUCKED (4 X 12)",CORN,"Corn, Yellow",No,Foodservice,4/5 NEW KRAFT,1
"CRIMINI, SLICED (5# CASE)",SC5,"Mushroom, Crimini",No,Foodservice,1/5 TUB,5
"CUCUMBER, DICED (2 X 5# CASE)",CUKD10,"Cucumber, Select",No,Foodservice,2/5 TUB,40
"CUCUMBER, SLICED (2 X 5# CASE)",CUKS10,"Cucumber, Select",No,Foodservice,2/5 TUB,40
"CUCUMBER, WHOLE (5# CASE)",CUW5,"Cucumber, Select",No,Foodservice,5# WHOLE PRODUCE,40
"FAJITA MIX, PEPPER & ONION, JULIENNE (2 X 5) (10# CASE)",FMJ,Pepper Mix ,No,Foodservice,2/5 TUB,10
FRENCH FRIES (4X5# CASE),FF,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,40
FRUIT MIXED (5# CASE),FM,Fruit Mix ,No,Foodservice,1/5 FRUIT TRAY,4
FRUIT TRAY (5# CASE),FTRAY,Fruit Mix ,No,Foodservice,2/5 FRUIT TRAY,4
"FRUIT, MIXED (2X5# CASE)",FM10,Fruit Mix ,No,Foodservice,2/5 FRUIT TRAY,4
"GRAPES, RED  (5# CASE)",GPL,"Grapes, Red SL",No,Foodservice,1/5 FRUIT TRAY,18
"GRAPES, RED  (1# CASE)",GPL,"Grapes, Red SL",No,Foodservice,1LBS BAG,18
"GREEN ONION, SLICED, (2X5#CASE)",GRO10,"Onions, Green 4x2#",No,Foodservice,1/5 ONION TRAY,10
"HONEYDEW, SLICED (2X5# CASE)",HONS,Honeydews,No,Foodservice,2/5 FRUIT TRAY,16
"HONEYDEW, CUBED (5# CASE)",HON,Honeydews,No,Foodservice,1/5 FRUIT TRAY,16
"HONEYDEW, HALVED (5# CASE)",HH,Honeydews,No,Foodservice,1/5 FRUIT TRAY,16
"JALAPENO, SLICED (2X5#CASE)",JS,Jalapenos,No,Foodservice,2/5 FRUIT TRAY,18
"JALAPENO, WHOLE, (5# CASE)",JW5,Jalapenos,No,Foodservice,1/5 TUB,25
"JICAMA, SHRED 1/8' (5# CASE)",JSH2/5,Jicama,No,Foodservice,1/5 ONION TRAY,22
"JICAMA, SHRED 1/8' (2X5# CASE)",JSH2/5,Jicama,No,Foodservice,2/5 ONION TRAY,22
"KALE, SHREDDED (4 X 1# CASE)",KAL,Kale,No,Foodservice,4/5 NEW KRAFT,16
"KIWI, PEELED & SLICED (5# CASE)",KI5,"Kiwi, Bulk",No,Foodservice,1/5 FRUIT TRAY,15
"LEMON WEDGES, (2 X 5# CASE)",LEM2/5,"Lemons, 140",No,Foodservice,2/5 FRUIT TRAY,10
"MANGO, CUBED (5# CASE)",MANG,Mangoes,No,Foodservice,1/5 FRUIT TRAY,4
"NAPA CABBAGE, SHREDDED (2 X 5)","NAPA, SHRED",Napa,No,Foodservice,2/5 TUB,35
"NAPA CABBAGE, SHREDDED (4 X 5)","NAPA, SHRED",Napa,No,Foodservice,2/10 NEW KRAFT,35
"ONIONS, RED DICED (20# CASE)",ROND,"Onions, Red 25#",No,Foodservice,4/5 NEW KRAFT,18
"ONIONS, RED DICED (5# BAG)",RONDB,"Onions, Red 25#",No,Foodservice,1/5 TUB,18
"ONIONS, RED JULIENNE (10# CASE)",RONJ10,"Onions, Red 25#",No,Foodservice,2/5 ONION TRAY,18
"ONIONS, RED JULIENNE (20# CASE)",RONJ,"Onions, Red 25#",No,Foodservice,4/5 NEW KRAFT,18
"ONIONS, RED JULIENNE (5# BAG)",RONJB,"Onions, Red 25#",No,Foodservice,1/5 TUB,18
"ONIONS, RED PEELED (20# CASE)",RONP,"Onions, Red 25#",No,Foodservice,4/5 NEW KRAFT,18
"ONIONS, RED RINGS (2# BAG)",RONR5,"Onions, Red 25#",No,Foodservice,1/5 TUB,18
"ONIONS, RED SLICED (10# CASE)",RONSL10,"Onions, Red 25#",No,Foodservice,2/5 ONION TRAY,18
"ONIONS, RED SLICED (20# CASE)",RONSL,"Onions, Red 25#",No,Foodservice,4/5 NEW KRAFT,18
"ONIONS, RED WHOLE (5# CASE)",ROW5,"Onions, Red 25#",No,Foodservice,5# WHOLE PRODUCE,25
"ONIONS, SLICED, (5# TUB)",YONT,"Onions, Yellow 50#",No,Foodservice,1/5 TUB,32
"ONIONS, YELLOW WHOLE (5# CASE)",YOW5,"Onions, Yellow 50#",No,Foodservice,5# WHOLE PRODUCE,50
"ONIONS, YELLOW DICED (10# CASE)",YOND10,"Onions, Yellow 50#",No,Foodservice,2/5 TUB,32
"ONIONS, YELLOW DICED (20# CASE)",YOND,"Onions, Yellow 50#",No,Foodservice,4/5 NEW KRAFT,32
"ONIONS, YELLOW JULIENNE (10# CASE)",YONJ10,"Onions, Yellow 50#",No,Foodservice,2/5 TUB,32
"ONIONS, YELLOW JULIENNE (20# CASE)",YONJ,"Onions, Yellow 50#",No,Foodservice,4/5 NEW KRAFT,32
"ONIONS, YELLOW PEELED (20# CASE)",YONP,"Onions, Yellow 50#",No,Foodservice,4/5 NEW KRAFT,32
"ONIONS, YELLOW THIN SLICED (5# CASE)",LYONT,"Onions, Yellow 50#",No,Foodservice,1/5 ONION TRAY,32
"ONIONS, YELLOW SLICED (10# CASE)",YONSL10,"Onions, Yellow 50#",No,Foodservice,2/5 TUB,32
"ONIONS, YELLOW SLICED (20# CASE)",YONSL,"Onions, Yellow 50#",No,Foodservice,4/5 NEW KRAFT,32
"ONIONS, SWEET DICED (20# CASE)",YOND,"Onions, Sweet",No,Foodservice,4/5 NEW KRAFT,29
"ONIONS, RED SHALLOTS (10# CASE)",RONSL10,SHALLOTS,No,Foodservice,2/5 ONION TRAY,5
"ORANGE SLICES, (2 X 5# TRAY)",OSL,"Oranges, 113 ct",No,Foodservice,2/5 FRUIT TRAY,29
"ORANGE PEELED & SECTIONED , (5# TRAY)",OSL,"Oranges, 113 ct",No,Foodservice,1/5 TUB,15
"TANGERINES PEELED & SECTIONED , (5# TRAY)",OSL,"Tangerine, 140ct",No,Foodservice,1/5 TUB,18
"PARSNIP, COIN CUT, (2 X 5# CASE)",PARS,"Parsnips, 25#",No,Foodservice,2/5 TUB,18
"PARSNIP, PEEL & DICED (10# CASE)",PARD,"Parsnips, 25#",No,Foodservice,2/5 TUB,18
"PEPPER, DICED YELLOW(5# CASE)",DYP,"Peppers, Yellow",No,Foodservice,1/5 TUB,15
"PEPPER, GREEN DICED (5# TRAY)",DP5,"Peppers, Green",No,Foodservice,1/5 FRUIT TRAY,15
"PEPPER, GREEN JULIENNE, (10# TRAY)",JP10,"Peppers, Green",No,Foodservice,2/5 FRUIT TRAY,15
"PEPPER, GREEN, DICED, (10# CASE)",DP10,"Peppers, Green",No,Foodservice,2/5 ONION TRAY,15
"PEPPER, GREEN, JULIENNE (20# CASE)",JP20,"Peppers, Green",No,Foodservice,4/5 NEW KRAFT,15
"PEPPER, JUL GREEN (5# CASE)",JP5,"Peppers, Green",No,Foodservice,1/5 ONION TRAY,15
"PEPPER, GREEN WHOLE (5# CASE)",GPW5,"Peppers, Green",No,Foodservice,5# WHOLE PRODUCE,20
"PEPPER, RED WHOLE (5# CASE)",RPW5,"Peppers, Red",No,Foodservice,5# WHOLE PRODUCE,20
"PEPPER, RED JULIENNE (10# TRAY)",JPR,"Peppers, Red",No,Foodservice,2/5 FRUIT TRAY,12
"PEPPER, RED, DICED (10# TRAY)",DRP,"Peppers, Red",No,Foodservice,2/5 FRUIT TRAY,12
"PEPPER, YELLOW DICED (10# TRAY)",DPY,"Peppers, Yellow",No,Foodservice,2/5 FRUIT TRAY,12
"PEPPER, YELLOW JULIENNE (10# TRAY)",JPY,"Peppers, Yellow",No,Foodservice,2/5 ONION TRAY,12
"PEPPERS, DICED, TRI COLOR, (10# CASE)",DP10M,Pepper Mix ,No,Foodservice,2/5 ONION TRAY,12
"PEPPERS, JULIENNE, TRI COLOR, (10# CASE)",JPM,Pepper Mix ,No,Foodservice,2/5 ONION TRAY,12
"PEPPER, SUNTAN, DICED, (10# CASE)",DP10,"Peppers, Sun Tan ",No,Foodservice,2/5 ONION TRAY,15
PICO DE GALLO (2 x 1 GAL/CASE),PDG2/1,Pico de Gallo ,No,Foodservice,Pico De Gallo,10
PINEAPPLE CUT (5# CASE),PINC,Pineapples,No,Foodservice,1/5 FRUIT TRAY,8.5
"PINEAPPLE, HALVED (5# CASE)",PH,Pineapples,No,Foodservice,1/5 FRUIT TRAY,8.5
"PINEAPPLE, SLICED (10# CASE)",PINSL,Pineapples,No,Foodservice,2/5 FRUIT TRAY,8.5
"POTATO, DICED, SKIN ON (20# CASE)",POTDSO,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,40
"POTATO, QUARTERED RED (20# CASE)",POTQR,"Potatoes, Red A",No,Foodservice,POTATOES 4/5,38
"POTATO, WEDGES (20# CASE)",POTWED,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,48
"POTATOES, DICED (10# BAG)",POTDB,"Potatoes, 90 ct",No,Foodservice,POTATOES 2/5,35
"POTATOES, DICED (20# CASE)",POTD,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,35
"POTATOES, HASH BROWN (20# CASE)",POTHB,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,38
"POTATOES, QUARTERED (20# CASE)",POTQ,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,38
"POTATOES, RED QUARTERED (10# BAG)",POTQRB,"Potatoes, Red A",No,Foodservice,POTATOES 2/5,38
"POTATOES, SLICED (10# BAG)",POTSLB,"Potatoes, 90 ct",No,Foodservice,POTATOES 2/5,38
"POTATOES, SLICED (20# CASE)",POTSL,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,38
"POTATOES, WHOLE PEELED (10# BAG)",POTWPB,"Potatoes, 90 ct",No,Foodservice,POTATOES 2/5,38
"POTATOES, WHOLE PEELED (20# CASE)",POTWP,"Potatoes, 90 ct",No,Foodservice,POTATOES 4/5,38
RADISH SLICED (10# CASE),RADS,"Radish, 14/1",No,Foodservice,4/5 NEW KRAFT,35
"RADISH, SHREDDED (10# CASE)",RADSH,"Radish, 14/1",No,Foodservice,4/5 NEW KRAFT,35
